type,tick,vehicle_id,total_distance,total_time,stops_made,average_speed,current_speed,is_dwelling,dwell_time_remaining,position_lon,position_lat,gap_m,vehicle_a,vehicle_b,active_vehicles,avg_tick_time_ms,total_stops
vehicle,27,V2,0.0035700000000000003,866.7980304836282,1.0,0.0,0.0001,True,137.03266196074256,-84.05075913,9.935585816,,,,,,
gap,27,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,27,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,27,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,28,V0,0.00205,890.9632610019534,1.0,0.0,0.0001,True,216.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,28,V1,0.0013100000000000002,835.6045291888086,1.0,0.0,9e-05,True,263.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,28,V2,0.0035700000000000003,885.973244293241,1.0,0.0,0.0001,True,150.03266196074256,-84.05075913,9.935585816,,,,,,
gap,28,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,28,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,28,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,29,V0,0.00205,915.2858968800349,1.0,0.0,0.0001,True,229.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,29,V1,0.0013100000000000002,869.7621390739753,1.0,0.0,9e-05,True,276.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,29,V2,0.0035700000000000003,927.908177017674,1.0,0.0,0.0001,True,163.03266196074256,-84.05075913,9.935585816,,,,,,
gap,29,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,29,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,29,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,30,V0,0.00205,945.1012287483978,1.0,0.0,0.0001,True,243.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,30,V1,0.0013100000000000002,902.3757818659733,1.0,0.0,9e-05,True,290.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,30,V2,0.0035700000000000003,959.5878707031463,1.0,0.0,0.0001,True,177.03266196074256,-84.05075913,9.935585816,,,,,,
gap,30,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,30,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,30,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,31,V0,0.00205,985.9486398829339,1.0,0.0,0.0001,True,255.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,31,V1,0.0013100000000000002,941.3093338533554,1.0,0.0,9e-05,True,302.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,31,V2,0.0035700000000000003,992.3248038572218,1.0,0.0,0.0001,True,189.03266196074256,-84.05075913,9.935585816,,,,,,
gap,31,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,31,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,31,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,32,V0,0.00205,1005.8391968484808,1.0,0.0,0.0001,True,266.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,32,V1,0.0013100000000000002,980.3431869968014,1.0,0.0,9e-05,True,313.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,32,V2,0.0035700000000000003,1026.1352751367792,1.0,0.0,0.0001,True,200.03266196074256,-84.05075913,9.935585816,,,,,,
gap,32,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,32,,,,,,,,,,,186.33177658262042,V1,V2,,,
